insee_code,name,postal_code,lat,lon
35162,Louvigné-du-Désert,35420,48.485900,-1.125100
45189,Louzouer,45210,48.034400,2.868300
35163,Luitré-Dompierre,35133,48.282300,-1.130100
77264,Lumigny-Nesles-Ormeaux,77540,48.724400,2.957200
64360,Lurbe-Saint-Christau,64660,43.109800,-0.601300
18134,Lury-sur-Arnon,18120,47.132100,2.065200
10209,Lusigny-sur-Barse,10270,48.259800,4.280800
40166,Lussagnet,40270,43.772000,-0.234500
40167,Luxey,40430,44.238200,-0.506100
36103,Luçay-le-Mâle,36360,47.117500,1.421100
49373,Lys-Haut-Layon,49310,47.150400,-0.461800
40154,Lévignacq,40170,44.012800,-1.145200
40168,Magescq,40140,43.775300,-1.184100
11212,Mailhac,11120,43.306700,2.828300
40169,Maillas,40120,44.212000,-0.178600
27379,Mainneville,27150,49.375900,1.684500
43128,Malvières,43160,45.340800,3.726700
76408,Manneville-la-Goupil,76110,49.612300,0.351900
57441,Manom,57100,49.379300,6.172600
76405,Manéhouville,76590,49.831900,1.069300
21379,Marcheseuil,21430,47.143900,4.375100
62548,Marck,62730,50.951400,1.951600
59379,Marcq-en-Ostrevent,59252,50.288900,3.233400
59381,Maresches,59990,50.292500,3.573800
89244,Marmeaux,89420,47.588100,4.107500
67283,Marmoutier,67440,48.695300,7.368400
31320,Marquefave,31390,43.311000,1.260100
86149,Martaizé,86330,46.920000,0.051900
18136,Marçais,18170,46.702400,2.351900
11225,Mas-Saintes-Puelles,11400,43.311900,1.880800
59392,Maubeuge,59600,50.283400,3.961100
49244,Mauges-sur-Loire,49110,47.343500,-0.935100
83076,Mazaugues,83136,43.343500,5.889900
63219,Mazaye,63230,45.782400,2.878000
18144,Menetou-Râtel,18300,47.349100,2.751800
68202,Mertzen,68210,47.587200,7.126800
27049,Mesnil-en-Ouche,27270,48.986900,0.670100
10240,Messon,10190,48.261600,3.916600
19136,Meymac,19250,45.552700,2.126600
07156,Meyras,07380,44.678600,4.260000
24269,Mialet,24450,45.572500,0.900700
36124,Migné,36800,46.714700,1.300300
32253,Miradoux,32340,43.998200,0.756400
32255,Miramont-Latour,32390,43.776300,0.691800
82111,Miramont-de-Quercy,82190,44.225900,1.052000
09194,Mirepoix,09500,43.113700,1.870700
02487,Missy-sur-Aisne,02880,49.384900,3.439900
56134,Mohon,56490,48.064300,-2.495000
03173,Molinet,03510,46.461300,3.926700
82113,Molières,82220,44.194400,1.393000
79179,Moncoutant-sur-Sèvre,79240,46.709700,-0.592700
64393,Monein,64360,43.290500,-0.562800
40189,Monget,40700,43.558200,-0.534800
30172,Monoblet,30170,43.997100,3.881400
63236,Mont-Dore,63240,45.573300,2.806000
72211,Mont-Saint-Jean,72140,48.243100,-0.112300
85146,Montaigu-Vendée,85600,46.974100,-1.292300
82121,Montauban,82000,44.021700,1.364600
71305,Montbellet,71260,46.471500,4.877800
31365,Montbrun-Bocage,31310,43.117900,1.256600
77300,Montceaux-lès-Meaux,77470,48.944500,2.992400
12149,Montclar,12550,43.980500,2.624700
71311,Montcony,71500,46.696800,5.296200
47186,Montesquieu,47130,44.209300,0.452800
16227,Montignac-le-Coq,16390,45.341800,0.215800
21433,Montigny-Mornay-Villeneuve-sur-Vingeanne,21610,47.575100,5.442200
60422,Montlognon,60300,49.152200,2.707400
11253,Montolieu,11170,43.313900,2.218300
95429,Montreuil-sur-Epte,95770,49.168900,1.689400
87100,Montrol-Sénard,87330,46.021900,0.955100
69139,Montrottier,69770,45.801400,4.465400
09211,Montségur,09300,42.847300,1.824100
11256,Montséret,11200,43.104900,2.810100
40197,Morcenx-la-Nouvelle,40110,44.031800,-0.914700
14452,Morteaux-Coulibœuf,14620,48.924500,-0.079700
67305,Mothern,67470,48.942100,8.147100
59419,Mouchin,59310,50.517400,3.290300
85158,Mouzeuil-Saint-Martin,85370,46.454400,-0.980700
16239,Mouzon,16310,45.796500,0.613600
49222,Mozé-sur-Louet,49610,47.364000,-0.570700
53148,Mée,53400,47.802600,-0.867800
19132,Ménoire,19190,45.105900,1.794200
09189,Mérens-les-Vals,09110,42.633000,1.822700
26181,Mévouillon,26560,44.233400,5.484000
